,season,teamAbbr,star_power,assists/score,win_count,w/l_ratio
15,2012,MIA,2.016982640450342,0.22372701573182108,66.0,0.8048780487804879
20,2012,OKC,2.0680630884067384,0.20169255849673662,60.0,0.7317073170731707
25,2012,SA,1.693733435261078,0.24344965924267453,58.0,0.7073170731707317
7,2012,DEN,1.641120525757574,0.22990963426173347,57.0,0.6951219512195121
12,2012,LAC,1.6974133751929823,0.23510337323194014,56.0,0.6829268292682927
14,2012,MEM,1.63972445648735,0.2231115866656084,56.0,0.6829268292682927
19,2012,NY,2.258188321374227,0.19222022029179256,54.0,0.6585365853658537
1,2012,BKN,1.8126413799092116,0.21014393311102122,49.0,0.5975609756097561
11,2012,IND,1.8617813385059279,0.2137743937613197,49.0,0.6049382716049383
9,2012,GS,1.7958419351118762,0.22169615627694667,47.0,0.573170731707317
55,2013,SA,1.6533066911558547,0.2378076980881642,62.0,0.7560975609756098
50,2013,OKC,2.421222663218008,0.20571623107438683,59.0,0.7195121951219512
42,2013,LAC,1.798252141826172,0.22770690723034284,57.0,0.6951219512195121
41,2013,IND,1.8899047272349325,0.20823220150601573,56.0,0.6829268292682927
40,2013,HOU,1.910923939627451,0.1972959153060444,54.0,0.6585365853658537
45,2013,MIA,2.127897378149123,0.22048677617434165,54.0,0.6585365853658537
54,2013,POR,1.7600986381768262,0.21662879412966385,54.0,0.6585365853658537
39,2013,GS,1.9831108635846988,0.22326710670101607,51.0,0.6219512195121951
44,2013,MEM,1.6447546508525646,0.22682257677327494,50.0,0.6097560975609756
36,2013,DAL,1.741708568546321,0.2243496074974003,49.0,0.5975609756097561
69,2014,GS,2.025172152306377,0.2492416029974724,67.0,0.8170731707317073
60,2014,ATL,1.6133662134007203,0.2506220134641825,60.0,0.7317073170731707
70,2014,HOU,2.128906709353243,0.21375048639124364,56.0,0.6829268292682927
72,2014,LAC,1.7090641440211591,0.23174546634865445,56.0,0.6829268292682927
74,2014,MEM,1.6691485175919187,0.22044954380029216,55.0,0.6707317073170732
85,2014,SA,1.6078125876204348,0.23628495142522055,55.0,0.6707317073170732
65,2014,CLE,2.0019294744024174,0.2147833249821728,53.0,0.6463414634146342
84,2014,POR,1.9574614504882304,0.2133814831688661,51.0,0.6219512195121951
64,2014,CHI,1.803131709209769,0.21542076965885082,50.0,0.6097560975609756
66,2014,DAL,1.7188402728252663,0.21275931146071167,50.0,0.6097560975609756
99,2015,GS,2.3205523229131546,0.25189609612843733,73.0,0.8902439024390244
115,2015,SA,1.7937777799127403,0.23625818709716792,67.0,0.8170731707317073
95,2015,CLE,1.952832790820163,0.21677088606384887,57.0,0.6951219512195121
117,2015,TOR,1.9241028547726218,0.18187299817603816,56.0,0.6829268292682927
110,2015,OKC,2.036630995743836,0.2081752388241483,55.0,0.6707317073170732
102,2015,LAC,1.7369867394649012,0.2190544755958736,53.0,0.6463414634146342
90,2015,ATL,1.5715840346377965,0.24841296811381186,48.0,0.5853658536585366
92,2015,BOS,1.700782836749119,0.22754098886790997,48.0,0.5853658536585366
93,2015,CHA,1.83711114216205,0.20973053590076263,48.0,0.5853658536585366
105,2015,MIA,1.6895577594256717,0.20767959426295604,48.0,0.5853658536585366
129,2016,GS,2.085219241643061,0.2614912148471009,67.0,0.8170731707317073
145,2016,SA,1.9575280958926944,0.22509751497329072,61.0,0.7439024390243902
130,2016,HOU,2.0837391326961465,0.21865447338811653,55.0,0.6707317073170732
122,2016,BOS,2.103935022741096,0.2332600744957914,53.0,0.6463414634146342
125,2016,CLE,1.8850043921785016,0.20436301964903744,51.0,0.6219512195121951
132,2016,LAC,1.6782179912673567,0.20718612693101054,51.0,0.6219512195121951
147,2016,TOR,2.1420150719214686,0.17231928984802505,51.0,0.6219512195121951
148,2016,UTA,1.8043248867302104,0.19954429451140243,51.0,0.6219512195121951
149,2016,WAS,1.8795378186235845,0.21818702367809573,49.0,0.5975609756097561
140,2016,OKC,2.5076506621805783,0.19643950256512602,47.0,0.573170731707317
160,2017,HOU,2.0755452688876055,0.19141019716855878,65.0,0.7926829268292683
177,2017,TOR,1.8868329551978196,0.2174969356403484,59.0,0.7195121951219512
159,2017,GS,2.1388053173317583,0.25774599373864504,58.0,0.7073170731707317
152,2017,BOS,1.805213448403578,0.21485854095315546,55.0,0.6707317073170732
172,2017,PHI,1.6420356702684347,0.24585149110119353,52.0,0.6341463414634146
155,2017,CLE,2.0135095824151383,0.210352305762657,50.0,0.6097560975609756
174,2017,POR,2.1012178174267175,0.18422549488511877,49.0,0.5975609756097561
161,2017,IND,1.757389239984131,0.2092411648684989,48.0,0.5853658536585366
168,2017,NO,2.0794850920966823,0.23939640090386588,48.0,0.5853658536585366
170,2017,OKC,2.03727505176125,0.19734528317658906,48.0,0.5853658536585366
